brightness,      y,      x, calibrated magnitude
5.877500e+02,   1770,   1410, 1.837702e+01
  1423,   2196,   1422, 1.741699e+01
3.043102e+04,    438,    884, 1.409171e+01
   157,   1769,   1412, 1.981025e+01
9.745000e+02,   3502,   1420, 1.782805e+01
1.342481e+04,   2815,    814, 1.498023e+01
2.114344e+04,   2574,   2059, 1.448706e+01
2.212500e+02,   1771,   1408, 1.943779e+01
2.851083e+04,   1118,    960, 1.416248e+01
2.998023e+04,   2436,    333, 1.410791e+01
2.962953e+04,   2411,    990, 1.412069e+01
2.076568e+04,   1860,   1538, 1.450663e+01
2.679905e+04,   2110,   2200, 1.422970e+01
4.959408e+04,   2069,   2232, 1.356143e+01
3.597500e+02,   1773,   1406, 1.891000e+01
4.162500e+02,   1786,   1402, 1.875161e+01
5.011800e+04,   1024,    967, 1.355002e+01
3.037459e+04,   2547,   1783, 1.409372e+01
1.686181e+04,   4008,   2280, 1.473274e+01
5.942500e+02,   1782,   1402, 1.836508e+01
3.266194e+04,   4259,   2144, 1.401490e+01
   606,   1778,   1403, 1.834382e+01
1.944038e+04,   3486,    268, 1.457824e+01
1.318625e+04,   3049,   2157, 1.499970e+01
3.377930e+04,   4002,   1149, 1.397837e+01
1.842775e+04,   3737,   2221, 1.463632e+01
3.702741e+04,    690,    925, 1.387869e+01
7.107621e+04,   2326,   2369, 1.317069e+01
   490,   3184,   1199, 1.857451e+01
2.321650e+04,   3313,   2013, 1.438551e+01
1.265881e+04,   4110,    360, 1.504402e+01
4.815102e+03,   1768,   1416, 1.609349e+01
   907,   1775,   1404, 1.790598e+01
4.057640e+04,   4393,   1661, 1.377932e+01
1.573606e+04,   2259,   1408, 1.480776e+01
1.430927e+04,   3537,   1341, 1.491096e+01
2.125817e+04,   2879,   2192, 1.448119e+01
3.579158e+04,   3472,   2202, 1.391555e+01
1.076075e+04,   3155,   1771, 1.522039e+01
2.363762e+04,   1327,   2001, 1.436599e+01
2.549306e+04,   1551,   1851, 1.428394e+01
3.942500e+02,   3500,   1420, 1.881057e+01
4.975000e+01,   1780,   1402, 2.105802e+01
1.263600e+04,   3562,   1526, 1.504598e+01
1.178485e+04,   2402,   1951, 1.512169e+01
    30,   1771,   1406, 2.160720e+01
1.845801e+04,   4194,   2217, 1.463454e+01
1.112841e+04,   2396,   1323, 1.518392e+01
3.115904e+04,   1398,   1892, 1.406604e+01
2.392146e+04,   3580,    637, 1.435303e+01
3.332500e+02,   1784,   1401, 1.899307e+01
  1200,    395,   1418, 1.760205e+01
1.248806e+04,   1898,    264, 1.505876e+01
2.326817e+04,   2552,   1378, 1.438309e+01
1.878288e+04,   2901,   1203, 1.461559e+01
2.158256e+04,   3351,   2329, 1.446474e+01
1.905453e+04,    524,    821, 1.460000e+01
1.617575e+04,   1855,   1655, 1.477784e+01
1.347188e+04,   3990,    456, 1.497643e+01
6.775000e+02,   3505,   1422, 1.822273e+01
2.247500e+02,   1773,   1404, 1.942075e+01
2.040981e+04,   2102,   2007, 1.452540e+01
1.593349e+04,   3974,   1834, 1.479422e+01
1.369734e+04,   1056,   1245, 1.495841e+01
   665,   1768,   1410, 1.824295e+01
1.462481e+04,    508,   1737, 1.488727e+01
2.101660e+04,   2887,   1710, 1.449359e+01
2.296040e+04,   1285,   1754, 1.439755e+01
1.798631e+04,   2116,   1977, 1.466264e+01
1.196762e+04,   3096,   1851, 1.510498e+01
   632,   3496,   1424, 1.829821e+01
4.957500e+02,   1776,   1402, 1.856184e+01
3.982500e+02,   3504,   1420, 1.879961e+01
3.080674e+04,   2009,   2349, 1.407839e+01
2.272056e+04,   3293,    598, 1.440895e+01
1.448288e+04,   1807,   2088, 1.489786e+01
1.774056e+04,    531,   2337, 1.467758e+01
4.345834e+04,   1237,    760, 1.370482e+01
9.767875e+03,   3564,   1605, 1.532550e+01
1.771044e+04,   3317,    669, 1.467943e+01
1.452881e+04,   3897,   1205, 1.489442e+01
1.881181e+04,   1317,    443, 1.461392e+01
2.449099e+04,   3719,    973, 1.432748e+01
1.447520e+04,   1476,   2137, 1.489844e+01
2.052108e+04,    259,   2186, 1.451950e+01
5.425000e+02,   3497,   1422, 1.846400e+01
1.996593e+04,   2328,    851, 1.454928e+01
1.058774e+03,   1769,   1407, 1.773799e+01
2.545659e+04,   2764,    241, 1.428550e+01
1.239540e+04,   3736,   1819, 1.506685e+01
2.427500e+02,   1778,   1401, 1.933710e+01
1.465125e+04,   1326,   2158, 1.488531e+01
4.505000e+02,   2198,   1422, 1.866576e+01
1.329150e+04,    557,    408, 1.499107e+01
3.632500e+02,   1788,   1401, 1.889949e+01
1.237511e+04,   2450,    579, 1.506863e+01
3.417603e+04,   2600,   1722, 1.396570e+01
9.340000e+03,   3065,   1842, 1.537413e+01
8.874460e+03,   4179,    967, 1.542965e+01
1.429140e+04,    450,   2229, 1.491231e+01
1.933062e+04,   3831,    938, 1.458439e+01
1.161581e+04,   4058,   1086, 1.513738e+01
1.410569e+04,   2742,   1975, 1.492651e+01
3.187500e+02,   1786,   1400, 1.904137e+01
9.595000e+02,   1781,   1400, 1.784489e+01
5.284669e+04,   3012,    276, 1.349246e+01
2.105000e+02,   1771,   1404, 1.949187e+01
1.453148e+04,   3858,   1974, 1.489423e+01
1.214944e+04,   3510,   2155, 1.508861e+01
1.108421e+04,   1056,    800, 1.518824e+01
1.242975e+04,   2013,   1250, 1.506384e+01
1.171569e+04,    726,   1041, 1.512808e+01
2.003804e+04,   3374,    929, 1.454536e+01
1.421125e+04,   2136,   1750, 1.491842e+01
1.713532e+04,    473,    270, 1.471527e+01
2.372175e+04,   4397,    304, 1.436213e+01
3.215000e+02,   1774,   1402, 1.903205e+01
3.463425e+04,   3454,   1492, 1.395124e+01
7.894744e+03,   3702,   1195, 1.555665e+01
3.414455e+04,    616,   1097, 1.396670e+01
3.076093e+04,   2507,   1669, 1.408000e+01
1.479838e+04,   3431,    946, 1.487446e+01
9.658530e+03,    709,   1326, 1.533772e+01
7.625000e+01,   4358,   2252, 2.059440e+01
